;Tempo[s];Z_onda[m];Z_heave[m];;;;
32572;3257,29048;-0,880043312;-0,442649682;;;;
32573;3257,390483;-0,897013142;-0,449546594;;;;
32574;3257,490486;-0,912826564;-0,455856935;;;;
32575;3257,590489;-0,927439802;-0,461573681;;;;
32576;3257,690491;-0,940811266;-0,466690589;;;;
32577;3257,790494;-0,952903661;-0,471202208;;;;
32578;3257,890497;-0,963685858;-0,475103883;;;;
32579;3257,9905;-0,973134348;-0,478391755;;;;
32580;3258,090503;-0,98123417;-0,481062769;;;;
32581;3258,190505;-0,98797921;-0,483114673;;;;
32582;3258,290508;-0,993371868;-0,48454602;;;;
32583;3258,390511;-0,997422108;-0,485356168;;;;
32584;3258,490514;-1,000145971;-0,485545277;;;;
32585;3258,590516;-1,001563712;-0,48511431;;;;
32586;3258,690519;-1,001697688;-0,484065027;;;;
32587;3258,790522;-1,000570224;-0,48239998;;;;
32588;3258,890525;-0,99820162;-0,480122513;;;;
32589;3258,990528;-0,99460849;-0,477236746;;;;
32590;3259,09053;-0,98980258;-0,473747579;;;;
32591;3259,190533;-0,983790167;-0,469660673;;;;
32592;3259,290536;-0,976572093;-0,464982449;;;;
32593;3259,390539;-0,968144434;-0,459720071;;;;
32594;3259,490541;-0,958499741;-0,45388144;;;;
32595;3259,590544;-0,947628737;-0,447475179;;;;
32596;3259,690547;-0,935522325;-0,440510619;;;;
32597;3259,79055;-0,922173719;-0,432997788;;;;
32598;3259,890553;-0,907580518;-0,424947393;;;;
32599;3259,990555;-0,891746511;-0,416370805;;;;
32600;3260,090558;-0,874683084;-0,407280046;;;;
32601;3260,190561;-0,856410065;-0,397687764;;;;
32602;3260,290564;-0,836955957;-0,387607223;;;;
32603;3260,390566;-0,816357523;-0,377052278;;;;
32604;3260,490569;-0,794658747;-0,366037359;;;;
32605;3260,590572;-0,771909288;-0,354577449;;;;
32606;3260,690575;-0,748162528;-0,342688064;;;;
32607;3260,790578;-0,723473413;-0,33038523;;;;
32608;3260,89058;-0,697896261;-0,317685463;;;;
32609;3260,990583;-0,671482727;-0,304605745;;;;
32610;3261,090586;-0,644280122;-0,291163499;;;;
32611;3261,190589;-0,616330203;-0,277376571;;;;
32612;3261,290591;-0,58766857;-0,263263198;;;;
32613;3261,390594;-0,558324692;-0,248841991;;;;
32614;3261,490597;-0,52832258;-0,234131906;;;;
32615;3261,5906;-0,49768202;-0,219152219;;;;
32616;3261,690603;-0,466420271;-0,2039225;;;;
32617;3261,790605;-0,434554061;-0,188462591;;;;
32618;3261,890608;-0,402101704;-0,172792576;;;;
32619;3261,990611;-0,369085138;-0,156932754;;;;
32620;3262,090614;-0,3355317;-0,140903617;;;;
32621;3262,190616;-0,301475484;-0,124725819;;;;
32622;3262,290619;-0,266958135;-0,108420152;;;;
32623;3262,390622;-0,232029018;-0,092007517;;;;
32624;3262,490625;-0,196744748;-0,0755089;;;;
32625;3262,590628;-0,161168089;-0,05894534;;;;
32626;3262,69063;-0,125366351;-0,042337909;;;;
32627;3262,790633;-0,089409391;-0,025707681;;;;
32628;3262,890636;-0,053367417;-0,009075704;;;;
32629;3262,990639;-0,017308763;0,007537023;;;;
32630;3263,090641;0,018702152;0,02410958;;;;
32631;3263,190644;0,054606517;0,040621147;;;;
32632;3263,290647;0,090352322;0,057051036;;;;
32633;3263,39065;0,125894952;0,073378715;;;;
32634;3263,490653;0,161197132;0,089583829;;;;
32635;3263,590655;0,196228227;0,105646233;;;;
32636;3263,690658;0,230962985;0,12154601;;;;
32637;3263,790661;0,265379808;0,137263499;;;;
32638;3263,890664;0,299458741;0,152779317;;;;
32639;3263,990666;0,333179348;0,168074386;;;;
32640;3264,090669;0,366518662;0,183129951;;;;
32641;3264,190672;0,399449424;0,197927609;;;;
32642;3264,290675;0,431938738;0,212449325;;;;
32643;3264,390678;0,463947303;0,226677458;;;;
32644;3264,49068;0,495429263;0,240594781;;;;
32645;3264,590683;0,526332719;0,254184501;;;;
32646;3264,690686;0,556600847;0,267430278;;;;
32647;3264,790689;0,586173531;0,280316248;;;;
32648;3264,890691;0,614989373;0,292827038;;;;
32649;3264,990694;0,642987901;0,304947786;;;;
32650;3265,090697;0,670111782;0,316664156;;;;
32651;3265,1907;0,696308852;0,327962359;;;;
32652;3265,290703;0,721533772;0,338829165;;;;
32653;3265,390705;0,745749186;0,349251918;;;;
32654;3265,490708;0,768926264;0,359218554;;;;
32655;3265,590711;0,791044586;0,368717611;;;;
32656;3265,690714;0,812091391;0,377738243;;;;
32657;3265,790716;0,832060252;0,386270232;;;;
32658;3265,890719;0,850949302;0,394303998;;;;
32659;3265,990722;0,868759164;0,401830611;;;;
32660;3266,090725;0,885490791;0,4088418;;;;
32661;3266,190728;0,901143384;0,415329959;;;;
32662;3266,29073;0,915712607;0,421288157;;;;
32663;3266,390733;0,929189234;0,426710143;;;;
32664;3266,490736;0,941558369;0,431590356;;;;
32665;3266,590739;0,952799303;0,435923923;;;;
32666;3266,690741;0,962886026;0,439706667;;;;
32667;3266,790744;0,971788345;0,442935112;;;;
32668;3266,890747;0,979473516;0,44560648;;;;
32669;3266,99075;0,985908248;0,447718696;;;;
32670;3267,090753;0,991060887;0,449270388;;;;
32671;3267,190755;0,994903605;0,450260884;;;;
32672;3267,290758;0,997414383;0,450690213;;;;
32673;3267,390761;0,998578621;0,450559103;;;;
32674;3267,490764;0,99839023;0,449868976;;;;
32675;3267,590766;0,996852101;0,448621943;;;;
32676;3267,690769;0,993975921;0,446820802;;;;
32677;3267,790772;0,989781341;0,444469032;;;;
32678;3267,890775;0,984294571;0,441570784;;;;
32679;3267,990778;0,977546539;0,438130875;;;;
32680;3268,09078;0,969570755;0,434154781;;;;
32681;3268,190783;0,960401092;0,429648624;;;;
32682;3268,290786;0,950069668;0,42461917;;;;
32683;3268,390789;0,938605017;0,419073809;;;;
32684;3268,490791;0,92603072;0,413020551;;;;
32685;3268,590794;0,912364608;0,406468014;;;;
32686;3268,690797;0,897618608;0,399425404;;;;
32687;3268,7908;0,881799252;0,391902511;;;;
32688;3268,890803;0,864908793;0,383909692;;;;
32689;3268,990805;0,846946822;0,375457852;;;;
32690;3269,090808;0,827912262;0,366558435;;;;
32691;3269,190811;0,807805531;0,357223406;;;;
32692;3269,290814;0,78663069;0,347465233;;;;
32693;3269,390816;0,764397394;0,337296874;;;;
32694;3269,490819;0,741122442;0,326731753;;;;
32695;3269,590822;0,716830807;0,31578375;;;;
32696;3269,690825;0,691556036;0,304467176;;;;
32697;3269,790828;0,665339994;0,292796756;;;;
32698;3269,89083;0,638231955;0,280787612;;;;
32699;3269,990833;0,610287132;0,268455238;;;;
32700;3270,090836;0,58156476;0,255815484;;;;
32701;3270,190839;0,552125912;0,242884533;;;;
32702;3270,290841;0,522031226;0,229678882;;;;
32703;3270,390844;0,491338757;0,216215315;;;;
32704;3270,490847;0,460102125;0,20251089;;;;
32705;3270,59085;0,428369129;0,188582909;;;;
32706;3270,690853;0,396180955;0,1744489;;;;
32707;3270,790855;0,363572021;0,160126594;;;;
32708;3270,890858;0,330570499;0,145633901;;;;
32709;3270,990861;0,297199439;0,130988888;;;;
32710;3271,090864;0,263478395;0,116209759;;;;
32711;3271,190866;0,22942542;0,101314827;;;;
32712;3271,290869;0,195059225;0,086322494;;;;
32713;3271,390872;0,160401313;0,071251229;;;;
32714;3271,490875;0,125477903;0,056119542;;;;
32715;3271,590878;0,090321449;0,040945965;;;;
32716;3271,69088;0,054971625;0,025749026;;;;
32717;3271,790883;0,019475682;0,010547227;;;;
32718;3271,890886;-0,016111867;-0,004640977;;;;
32719;3271,990889;-0,051730199;-0,019797201;;;;
32720;3272,090891;-0,087313708;-0,034903155;;;;
32721;3272,190894;-0,122793953;-0,049940662;;;;
32722;3272,290897;-0,158101885;-0,064891681;;;;
32723;3272,3909;-0,193170131;-0,079738329;;;;
32724;3272,490903;-0,227935159;-0,094462905;;;;
32725;3272,590905;-0,262339122;-0,109047904;;;;
32726;3272,690908;-0,296331225;-0,123476045;;;;
32727;3272,790911;-0,3298685;-0,137730285;;;;
32728;3272,890914;-0,362915917;-0,151793844;;;;
32729;3272,990916;-0,395445835;-0,165650222;;;;
32730;3273,090919;-0,427436834;-0,179283216;;;;
32731;3273,190922;-0,458872049;-0,192676945;;;;
32732;3273,290925;-0,489737152;-0,20581586;;;;
32733;3273,390928;-0,520018166;-0,218684768;;;;
32734;3273,49093;-0,549699313;-0,231268848;;;;
32735;3273,590933;-0,578761093;-0,243553665;;;;
32736;3273,690936;-0,607178762;-0,255525187;;;;
32737;3273,790939;-0,634921367;-0,267169806;;;;
32738;3273,890941;-0,661951405;-0,278474344;;;;
32739;3273,990944;-0,688225156;-0,289426075;;;;
32740;3274,090947;-0,713693669;-0,300012735;;;;
32741;3274,19095;-0,738304294;-0,310222537;;;;
32742;3274,290953;-0,762002653;-0,320044183;;;;
32743;3274,390955;-0,784734863;-0,329466877;;;;
32744;3274,490958;-0,806449815;-0,338480333;;;;
32745;3274,590961;-0,82710132;-0,34707479;;;;
32746;3274,690964;-0,846649914;-0,35524102;;;;
32747;3274,790966;-0,865064189;-0,362970337;;;;
32748;3274,890969;-0,882321507;-0,370254604;;;;
32749;3274,990972;-0,898408056;-0,377086246;;;;
32750;3275,090975;-0,913318228;-0,38345825;;;;
32751;3275,190978;-0,927053397;-0,389364177;;;;
32752;3275,29098;-0,939620183;-0,394798165;;;;
32753;3275,390983;-0,951028379;-0,399754936;;;;
32754;3275,490986;-0,961288718;-0,404229795;;;;
32755;3275,590989;-0,970410684;-0,408218641;;;;
32756;3275,690991;-0,978400559;-0,411717964;;;;
32757;3275,790994;-0,985259892;-0,414724848;;;;
32758;3275,890997;-0,990984512;-0,417236976;;;;
32759;3275,991;-0,9955642;-0,419252626;;;;
32760;3276,091003;-0,998983013;-0,420770671;;;;
32761;3276,191005;-1,001220275;-0,421790583;;;;
32762;3276,291008;-1,002252112;-0,422312427;;;;
32763;3276,391011;-1,002053411;-0,42233686;;;;
32764;3276,491014;-1,00060003;-0,421865129;;;;
32765;3276,591016;-0,997871054;-0,420899065;;;;
32766;3276,691019;-0,993850897;-0,419441083;;;;
32767;3276,791022;-0,988531066;-0,417494173;;;;
32768;3276,891025;-0,981911429;-0,415061897;;;;
32769;3276,991028;-0,974000858;-0,412148379;;;;
32770;3277,09103;-0,964817214;-0,408758305;;;;
32771;3277,191033;-0,954386654;-0,404896908;;;;
32772;3277,291036;-0,942742319;-0,400569963;;;;
32773;3277,391039;-0,929922538;-0,395783781;;;;
32774;3277,491041;-0,915968686;-0,390545194;;;;
32775;3277,591044;-0,900922894;-0,384861548;;;;
32776;3277,691047;-0,884825816;-0,378740694;;;;
32777;3277,79105;-0,867714643;-0,372190972;;;;
32778;3277,891053;-0,849621548;-0,365221206;;;;
32779;3277,991055;-0,830572696;-0,357840683;;;;
32780;3278,091058;-0,810587895;-0,35005915;;;;
32781;3278,191061;-0,789680936;-0,341886793;;;;
32782;3278,291064;-0,767860576;-0,333334226;;;;
32783;3278,391066;-0,745132073;-0,324412478;;;;
32784;3278,491069;-0,721499144;-0,315132976;;;;
32785;3278,591072;-0,696966156;-0,305507532;;;;
32786;3278,691075;-0,671540363;-0,295548325;;;;
32787;3278,791078;-0,645233971;-0,285267888;;;;
32788;3278,89108;-0,618065858;-0,274679089;;;;
32789;3278,991083;-0,590062787;-0,263795117;;;;
32790;3279,091086;-0,561259992;-0,252629463;;;;
32791;3279,191089;-0,53170109;-0,241195902;;;;
32792;3279,291091;-0,501437321;-0,229508479;;;;
32793;3279,391094;-0,470526174;-0,217581489;;;;
32794;3279,491097;-0,439029521;-0,205429458;;;;
32795;3279,5911;-0,407011427;-0,193067127;;;;
32796;3279,691103;-0,374535817;-0,180509434;;;;
32797;3279,791105;-0,341664208;-0,167771492;;;;
32798;3279,891108;-0,308453707;-0,154868574;;;;
32799;3279,991111;-0,274955451;-0,141816096;;;;
32800;3280,091114;-0,241213613;-0,128629591;;;;
32801;3280,191116;-0,207265077;-0,115324697;;;;
32802;3280,291119;-0,173139785;-0,101917138;;;;
32803;3280,391122;-0,138861743;-0,088422701;;;;
32804;3280,491125;-0,104450575;-0,074857221;;;;
32805;3280,591128;-0,069923494;-0,06123656;;;;
32806;3280,69113;-0,035297497;-0,047576591;;;;
32807;3280,791133;-0,000591598;-0,033893177;;;;
32808;3280,891136;0,034171116;-0,020202153;;;;
32809;3280,991139;0,068961792;-0,00651931;;;;
32810;3281,091141;0,10374463;0,007139625;;;;
32811;3281,191144;0,138476337;0,020759009;;;;
32812;3281,291147;0,173106257;0,034323296;;;;
32813;3281,39115;0,20757718;0,047817059;;;;
32814;3281,491153;0,241826757;0,061225004;;;;
32815;3281,591155;0,275789401;0,074531989;;;;
32816;3281,691158;0,309398508;0,08772304;;;;
32817;3281,791161;0,342588809;0,10078337;;;;
32818;3281,891164;0,375298642;0,113698391;;;;
32819;3281,991166;0,407471942;0,126453731;;;;
32820;3282,091169;0,43905979;0,139035253;;;;
32821;3282,191172;0,470021367;0,151429066;;;;
32822;3282,291175;0,500324249;0,163621541;;;;
32823;3282,391178;0,529944009;0,175599328;;;;
32824;3282,49118;0,558863165;0,187349365;;;;
32825;3282,591183;0,587069587;0,198858896;;;;
32826;3282,691186;0,614554479;0,210115481;;;;
32827;3282,791189;0,641310157;0,221107012;;;;
32828;3282,891191;0,66732779;0,231821722;;;;
32829;3282,991194;0,692595331;0,2422482;;;;
32830;3283,091197;0,717095821;0,252375398;;;;
32831;3283,1912;0,74080622;0,262192646;;;;
32832;3283,291203;0,763696866;0,271689662;;;;
32833;3283,391205;0,78573163;0,280856561;;;;
32834;3283,491208;0,806868743;0,289683863;;;;
32835;3283,591211;0,827062226;0,298162504;;;;
32836;3283,691214;0,846263802;0,306283846;;;;
32837;3283,791216;0,864425127;0,314039681;;;;
32838;3283,891219;0,881500128;0,321422243;;;;
32839;3283,991222;0,897447253;0,32842421;;;;
32840;3284,091225;0,912231438;0,335038716;;;;
32841;3284,191228;0,925825603;0,341259354;;;;
32842;3284,29123;0,938211557;0,34708018;;;;
32843;3284,391233;0,949380227;0,35249572;;;;
32844;3284,491236;0,959331193;0,357500976;;;;
32845;3284,591239;0,968071572;0,362091426;;;;
32846;3284,691241;0,975614353;0,366263029;;;;
32847;3284,791244;0,981976326;0,370012229;;;;
32848;3284,891247;0,987175799;0,373335957;;;;
32849;3284,99125;0,9912303;0,376231628;;;;
32850;3285,091253;0,994154484;0,37869715;;;;
32851;3285,191255;0,995958406;0,380730918;;;;
32852;3285,291258;0,996646346;0,382331817;;;;
32853;3285,391261;0,996216268;0,38349922;;;;
32854;3285,491264;0,994659977;0,38423299;;;;
32855;3285,591266;0,991963944;0,384533474;;;;
32856;3285,691269;0,988110749;0,384401504;;;;
32857;3285,791272;0,983080985;0,383838392;;;;
32858;3285,891275;0,976855478;0,382845928;;;;
32859;3285,991278;0,969417607;0,381426378;;;;
32860;3286,09128;0,960755526;0,379582474;;;;
32861;3286,191283;0,95086408;0,377317417;;;;
32862;3286,291286;0,939746252;0,374634865;;;;
32863;3286,391289;0,927414002;0,371538927;;;;
32864;3286,491291;0,913888425;0,368034164;;;;
32865;3286,591294;0,899199215;0,364125572;;;;
32866;3286,691297;0,88338347;0,359818583;;;;
32867;3286,7913;0,866483956;0,355119052;;;;
32868;3286,891303;0,848546974;0,350033249;;;;
32869;3286,991305;0,829620017;0,344567853;;;;
32870;3287,091308;0,809749437;0,33872994;;;;
32871;3287,191311;0,788978305;0,332526976;;;;
32872;3287,291314;0,767344675;0,325966804;;;;
32873;3287,391316;0,744880397;0,319057634;;;;
32874;3287,491319;0,721610573;0,311808036;;;;
32875;3287,591322;0,697553718;0,304226922;;;;
32876;3287,691325;0,672722597;0,296323541;;;;
32877;3287,791328;0,64712567;0,288107466;;;;
32878;3287,89133;0,620769002;0,279588576;;;;
32879;3287,991333;0,593658475;0,270777052;;;;
32880;3288,091336;0,565802095;0,261683359;;;;
32881;3288,191339;0,537212189;0,252318236;;;;
32882;3288,291341;0,507907285;0,242692678;;;;
32883;3288,391344;0,477913512;0,232817929;;;;
32884;3288,491347;0,447265385;0,222705464;;;;
32885;3288,59135;0,416005901;0,212366978;;;;
32886;3288,691353;0,38418594;0,20181437;;;;
32887;3288,791355;0,351863005;0,191059728;;;;
32888;3288,891358;0,319099429;0,180115321;;;;
32889;3288,991361;0,285960191;0,168993575;;;;
32890;3289,091364;0,252510531;0,157707068;;;;
32891;3289,191366;0,218813584;0,146268509;;;;
32892;3289,291369;0,18492823;0,134690728;;;;
32893;3289,391372;0,150907354;0,122986659;;;;
32894;3289,491375;0,116796657;0,111169327;;;;
32895;3289,591378;0,082634141;0,09925183;;;;
32896;3289,69138;0,048450286;0,087247332;;;;
32897;3289,791383;0,014268917;0,07516904;;;;
32898;3289,891386;-0,019891331;0,063030197;;;;
32899;3289,991389;-0,054015072;0,05084406;;;;
32900;3290,091391;-0,088087951;0,038623896;;;;
32901;3290,191394;-0,122094326;0,026382958;;;;
32902;3290,291397;-0,156015076;0,014134476;;;;
32903;3290,3914;-0,189825738;0,001891642;;;;
32904;3290,491403;-0,223495131;-0,010332401;;;;
32905;3290,591405;-0,256984607;-0,02252458;;;;
32906;3290,691408;-0,290247989;-0,034671897;;;;
32907;3290,791411;-0,323232216;-0,046761449;;;;
32908;3290,891414;-0,355878641;-0,058780437;;;;
32909;3290,991416;-0,388124859;-0,070716181;;;;
32910;3291,091419;-0,419906923;-0,082556134;;;;
32911;3291,191422;-0,451161738;-0,094287894;;;;
32912;3291,291425;-0,481829441;-0,105899213;;;;
32913;3291,391428;-0,511855536;-0,117378016;;;;
32914;3291,49143;-0,541192618;-0,128712409;;;;
32915;3291,591433;-0,569801524;-0,139890691;;;;
32916;3291,691436;-0,597651812;-0,150901365;;;;
32917;3291,791439;-0,62472153;-0,161733154;;;;
32918;3291,891441;-0,650996304;-0,172375007;;;;
32919;3291,991444;-0,676467817;-0,182816111;;;;
32920;3292,091447;-0,701131827;-0,193045903;;;;
32921;3292,19145;-0,724985906;-0,203054081;;;;
32922;3292,291453;-0,748027094;-0,212830611;;;;
32923;3292,391455;-0,770249689;-0,222365737;;;;
32924;3292,491458;-0,791643376;-0,231649994;;;;
32925;3292,591461;-0,81219185;-0,240674212;;;;
32926;3292,691464;-0,831872081;-0,249429528;;;;
32927;3292,791466;-0,850654268;-0,257907392;;;;
32928;3292,891469;-0,868502503;-0,266099576;;;;
32929;3292,991472;-0,885376084;-0,273998182;;;;
32930;3293,091475;-0,901231362;-0,281595646;;;;
32931;3293,191478;-0,916023956;-0,288884749;;;;
