,Tempo[s],Z_onda[m],Z_heave[m]
172,17.20047779,-0.9843990632,0.2250713203
173,17.30048057,-1.000575245,0.2252142576
174,17.40048335,-0.9718988232,0.2251014135
175,17.50048612,-0.8996956921,0.2247334267
176,17.6004889,-0.7872394444,0.224111354
177,17.70049168,-0.6395958569,0.2232366745
178,17.80049446,-0.4633856053,0.2221112923
179,17.90049724,-0.2664771068,0.2207375389
180,18.00050001,-0.05762462148,0.2191181736
181,18.10050279,0.1539308418,0.2172563826
182,18.20050557,0.3588787827,0.2151557754
183,18.30050835,0.5482550833,0.2128203796
184,18.40051113,0.7138374179,0.2102546317
185,18.5005139,0.8485024925,0.2074633663
186,18.60051668,0.9465296042,0.2044518013
187,18.70051946,1.00383787,0.2012255204
188,18.80052224,1.018147834,0.1977904521
189,18.90052501,0.9890618392,0.1941528463
190,19.00052779,0.9180613296,0.1903192475
191,19.10053057,0.8084229745,0.1862964664
192,19.20053335,0.6650589889,0.1820915485
193,19.30053613,0.4942901126,0.1777117418
194,19.4005389,0.303562309,0.173164463
195,19.50054168,0.1011202529,0.1684572635
196,19.60054446,-0.1043479455,0.1635977951
197,19.70054724,-0.3040796049,0.1585937767
198,19.80055002,-0.4896046506,0.1534529614
199,19.90055279,-0.6530963348,0.1481831062
200,20.00055557,-0.7876917576,0.1427919431
201,20.10055835,-0.8877699501,0.1372871535
202,20.20056113,-0.9491771628,0.1316763449
203,20.3005639,-0.9693911843,0.1259670311
204,20.40056668,-0.9476189158,0.1201666163
205,20.50056946,-0.8848239573,0.1142823814
206,20.60057224,-0.7836835554,0.1083214759
207,20.70057502,-0.6484768377,0.1022909111
208,20.80057779,-0.4849087491,0.09619755801
209,20.90058057,-0.2998764539,0.09004814807
210,21.00058335,-0.1011870936,0.08384927603
211,21.10058613,0.1027623463,0.07760740579
212,21.20058891,0.3033307853,0.07132887787
213,21.30059168,0.4919910036,0.06501991844
214,21.40059446,0.6606857011,0.05868664938
215,21.50059724,0.8021673593,0.05233509876
216,21.60060002,0.9103079233,0.04597121161
217,21.70060279,0.9803651949,0.03960086022
218,21.80060557,1.009194235,0.03322985388
219,21.90060835,0.9953940227,0.02686394761
220,22.00061113,0.9393820287,0.02050884972
221,22.10061391,0.8433922102,0.01417022795
222,22.20061668,0.7113950551,0.007853714346
223,22.30061946,0.548941654,0.00156490851
224,22.40062224,0.3629371475,-0.004690620339
225,22.50062502,0.1613521706,-0.0109073326
226,22.6006278,-0.04711608268,-0.01707971852
227,22.70063057,-0.2534189826,-0.0232022992
228,22.80063335,-0.4485515855,-0.02926962816
229,22.90063613,-0.6239502734,-0.03527629316
230,23.00063891,-0.771874931,-0.04121691798
231,23.10064168,-0.8857580331,-0.04708616407
232,23.20064446,-0.9605042327,-0.05287873166
233,23.30064724,-0.992726083,-0.05858936044
234,23.40065002,-0.9809043237,-0.06421282949
235,23.5006528,-0.9254645744,-0.06974395662
236,23.60065557,-0.8287661598,-0.07517759717
237,23.70065835,-0.6950029329,-0.08050864223
238,23.80066113,-0.5300201717,-0.08573201676
239,23.90066391,-0.3410556642,-0.09084267763
240,24.00066669,-0.1364167705,-0.09583561196
241,24.10066946,0.07489164069,-0.1007058362
242,24.20067224,0.2835711124,-0.1054483961
243,24.30067502,0.480446581,-0.1100583679
244,24.4006778,0.6568770369,-0.1145308615
245,24.50068057,0.8051408522,-0.1188610255
246,24.60068335,0.9187780654,-0.1230440537
247,24.70068613,0.9928740767,-0.1270751949
248,24.80068891,1.024272109,-0.1309497646
249,24.90069169,1.01170526,-0.134663159
250,25.00069446,0.9558428633,-0.1382108714
251,25.10069724,0.8592498981,-0.1415885108
252,25.20070002,0.7262622862,-0.144791822
253,25.3007028,0.5627846929,-0.1478167074
254,25.40070558,0.3760209073,-0.1506592497
255,25.50070835,0.1741497447,-0.1533157356
256,25.60071113,-0.03403838643,-0.1557826788
257,25.70071391,-0.2395276597,-0.1580568429
258,25.80071669,-0.4334685035,-0.1601352636
259,25.90071946,-0.6075576686,-0.1620152691
260,26.00072224,-0.7543904786,-0.1636944982
